timestamp,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
1741646267.81990099,104928689,0,8.67,6.56,13.17,1.6725496053695679,0.7756377458572388,-0.04405498132109642,0.005837567150592804,8.874251365661621,-0.5439124703407288,-49.93548583984375,0.05,0.12,-0.04,584.16
1741646267.81990099,104928689,1,8.72,7.25,357.62,1.7949548959732056,0.25494328141212463,-0.053140152245759964,0.03036952018737793,8.941880226135254,-1.169252634048462,-50.050498962402344,-0.2,0.49,-0.09,584.16
1741646267.83989406,104948682,0,8.9,6.55,14.12,1.6500396728515625,0.7838762998580933,-0.03100990317761898,0.01766098476946354,8.909878730773926,-0.5274652242660522,-49.935638427734375,0.05,0.12,-0.04,584.16
1741646267.83989406,104948682,1,8.58,7.72,357.89,1.7682443857192993,0.27441662549972534,-0.03985079377889633,0.042550038546323776,8.978315353393555,-1.1450438499450684,-50.04932403564453,-0.2,0.49,-0.09,584.16
1741646267.87988091,104988669,0,9.06,6.45,16.04,1.599462628364563,0.8483767509460449,0.006053837947547436,0.05051260069012642,8.987682342529297,-0.4906942546367645,-49.933597564697266,0.05,0.13,-0.04,584.16
1741646267.87988091,104988669,1,8.7,7.33,359.79,1.7161442041397095,0.35509225726127625,-0.002581904409453273,0.0777924433350563,9.050724983215332,-1.1011338233947754,-50.04719924926758,-0.21,0.49,-0.08,584.16
1741646267.91986799,105028656,0,9.67,6.52,18.51,1.5512093305587769,0.8895643949508667,0.008289750665426254,0.05466326326131821,9.062084197998047,-0.45246225595474243,-49.93100357055664,0.05,0.13,-0.04,584.16
1741646267.91986799,105028656,1,9.66,7.44,2.34,1.6630492210388184,0.4176294803619385,0.00020567871979437768,0.0787259116768837,9.124387741088867,-1.046944499015808,-50.04380798339844,-0.21,0.49,-0.09,584.16
1741646267.95985389,105068642,0,10.36,6.21,19.65,1.4873172044754028,0.9495108723640442,-0.023982424288988113,0.02407803386449814,9.132852554321289,-0.4120367467403412,-49.92963409423828,0.05,0.13,-0.04,584.16
1741646267.95985389,105068642,1,9.95,7.11,3.4,1.600974678993225,0.4988201856613159,-0.03204828500747681,0.04784434288740158,9.194507598876953,-0.9936962723731995,-50.04147720336914,-0.21,0.49,-0.09,584.16
1741646267.99984097,105108629,0,10.56,6.21,21.6,1.4251515865325928,1.0127696990966797,-0.036593955010175705,0.010671699419617653,9.20009708404541,-0.36956581473350525,-49.92914962768555,0.05,0.13,-0.04,584.16
